Instructions: ,Look for the font you’re interested in downloading and click the link next to it. It’ll get you to a 3rd party site where you can download for free. ,,,,
,,,,,
Rank,Font Name,Link,Best For,Pairs With,Google Font Description
1,Abril Fatface,https://fonts.google.com/specimen/Abril+Fatface,Header,"Roboto, Raleway, Montserrat","Abril Fatface is part of a bigger type family system, Abril, which includes 18 styles for all Display and Text uses. The titling weights are a contemporary revamp of classic Didone styles, display both neutrality and strong presence on the page to attract reader attention with measured tension by its curves, good color and high contrast. Abril Fatface in particular is inspired by the heavy titling fonts used in advertising posters in 19th century Britain and France. The thin serifs and clean curves lend the typeface a refined touch that give any headline an elegant appearance. The Extended Latin character set supports over 50 languages, including those from Central and Northern Europe."
2,Alex Brush,https://fonts.google.com/specimen/Alex+Brush,Header,"Open Sans, Lato, Roboto Slab",Alex Brush is a beautifully flowing brush script. It has short ascenders and descenders allowing a legibility not seen in other script fonts.
3,Archivo Black,https://fonts.google.com/specimen/Archivo+Black,Header,"Roboto, Montserrat, Oswald","Archivo Black was designed to be used simultaneously in print and digital platforms. The technical and aesthetic characteristics of the font are both crafted for high performance typography. It was designed to be used simultaneously in print and online platforms and supports over 200 world languages. Archivo is a grotesque sans serif typeface family from Omnibus-Type. It was originally designed for highlights and headlines. This family is reminiscent of late nineteenth century American typefaces. It includes normal, Black and Narrow styles, and was derived from Chivo."
4,Archivo Narrow,https://fonts.google.com/specimen/Archivo+Narrow?preview.text=&preview.text_type=custom&query=Archivo+Narrow,Header,"Barlow, Roboto, Fira Sans","Archivo Narrow was designed to be used simultaneously in print and digital platforms. The technical and aesthetic characteristics of the font are both crafted for high performance typography. It was designed to be used simultaneously in print and online platforms and supports over 200 world languages. Archivo is a grotesque sans serif typeface family from Omnibus-Type. It was originally designed for highlights and headlines. This family is reminiscent of late nineteenth century American typefaces. It includes normal, Narrow and Black styles, and was derived from Chivo"
5,Arial,https://www.fonts.com/font/monotype/arial?QueryFontType=Web&src=GoogleWebFonts,Both,"Georgia, Oswald, Verdana ","Arial was designed for Monotype in 1982 by Robin Nicholas and Patricia Saunders. A contemporary sans serif design, Arial contains more humanist characteristics than many of its predecessors and as such is more in tune with the mood of the last decades of the twentieth century. The overall treatment of curves is softer and fuller than in most industrial style sans serif faces. Terminal strokes are cut on the diagonal which helps to give the face a less mechanical appearance. Arial is an extremely versatile family of typefaces which can be used with equal success for text setting in reports, presentations, magazines etc, and for display use in newspapers, advertising and promotions."
6,Arimo,https://fonts.google.com/specimen/Arimo?preview.text=&preview.text_type=custom&query=Arimo#about,Body,"Roboto, Open Sans, Montserrat","Arimo was designed by Steve Matteson as an innovative, refreshing sans serif design that is metrically compatible with Arial™. Arimo offers improved on-screen readability characteristics and the pan-European WGL character set and solves the needs of developers looking for width-compatible fonts to address document portability across platforms."
7,Arvo,https://fonts.google.com/specimen/Arvo?preview.text=&preview.text_type=custom&query=arvo,Header,"Lato, Roboto, Open Sans","Arvo is a geometric slab-serif typeface family suited for screen and print. The family includes 4 cuts: Roman, Italic, Roman Bold, Bold Italic. It is a libre font, first published in Google Fonts. The flavour of the font is rather mixed. It's monolinear-ish, but has a tiny bit of contrast (which increases the legibility a little in Mac OS X.) The name Arvo is a typical Estonian man's name, but is not widely used today. In the Finnish language, Arvo means ""number, value, worth."" Considering how much programming is involved in hinting, all these meanings are true."
8,Barcelony,https://www.behance.net/gallery/80458759/BARCELONY-FREE-SCRIPT-FONT,Header,-,"Barcelony Signature is a elegant and a smooth casual monoline signature stylish script. Barcelony Signature is perfect for branding projects, logo, wedding designs, social media posts, advertisements, product packaging, product designs, label, photography, watermark, invitation, stationery and any projects that need handwriting taste."
9,Barlow,https://fonts.google.com/specimen/Barlow?query=Barlow,Both,"Lato, Barlow Condensed, Fira Sans","Barlow is a slightly rounded, low-contrast, grotesk type family. Drawing from the visual style of the California public, Barlow shares qualities with the state's car plates, highway signs, busses, and trains. This is the Normal family, which is part of the superfamily along with Semi Condensed and Condensed, each with 9 weights in Roman and Italic."
10,Cabin,https://fonts.google.com/specimen/Cabin,Both,"Source Sans Pro, Raleway, Roboto","Cabin is a humanist sans inspired by Edward Johnston's and Eric Gill's typefaces, with a touch of modernism. Cabin incorporates modern proportions, optical adjustments, and some elements of the geometric sans. It remains true to its roots, but has its own personality. The Cabin font family comes in two variable fonts, roman and true italic, with a Weight range from Regular to Bold, and a Width range from normal to Condensed. The stroke contrast is almost monolinear, although top and bottom curves are slightly thinned. Counters of the b, g, p and q are rounded, and all are optically adjusted."
11,Cantarell,https://fonts.google.com/specimen/Cantarell,Header,"Roboto, Oxygen, Ubuntu","The Cantarell typeface family was designed as a graduation project for the MA Typeface Design programme in the Department of Typography at the University of Reading (UK.) A contemporary humanist sans serif, it was developed for on-screen reading; in particular, reading web pages on cheap Android devices."
12,Cardo,https://fonts.google.com/specimen/Cardo,Body,"Open Sans, Crimson Text, Ubuntu","Cardo is a large Unicode font specifically designed for the needs of classicists, Biblical scholars, medievalists, and linguists. It also works well for general typesetting in situations where a high-quality Old Style font is appropriate. Its large character set supports many modern languages as well as those needed by scholars. Cardo also contains features that are required for high-quality typography such as ligatures, text figures (also known as old style numerals), true small capitals and a variety of punctuation and space characters."
13,EB Garamond,https://fonts.google.com/specimen/EB+Garamond?preview.text=&preview.text_type=custom&query=Garamond#pairings,Header,"Roboto, Open Sans, Montserrat","EB Garamond is intended to be an excellent, classical, Garamond. It is a community project to create a revival of Claude Garamont’s famous humanist typefaces from the mid-16th century. This digital version reproduces the original design by Claude Garamont closely: The source for the letterforms is a scan of a specimen known as the “Berner specimen,” which was composed in 1592 by Conrad Berner, the son-in-law of Christian Egenolff and his successor at the Egenolff print office. This specimen shows Garamont’s roman and Granjon’s italic types at different sizes. Hence the name of this project: Egenolff-Berner Garamond. Why another Garamond? That typeface is a key moment in the history of typography, and European type designers have been reacting to this work ever since. It is probably the most revived typeface in the world and many are excellent. In the world of free/libre culture, however, only a few Garamond-inspired types exist, and none share the scope of this project."
14,Exo,https://fonts.google.com/specimen/Exo+2,Header,"Open Sans, Roboto, PT Sans","Exo 2 is a complete redrawing of Exo, a contemporary geometric sans serif typeface that tries to convey a technological/futuristic feeling while keeping an elegant design. Exo is a very versatile font, so it has 9 weights (the maximum on the web) and each with a true italic version. Exo 2 has a more organic look that will perform much better at small text sizes and in long texts."
